;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;# Test;Destinazione;C;DF;S;TTL;min RTT;max RTT;mean RTT;std RTT;Ploss;# hops;MTU;Osservazioni;;;;
;1;online.king.edu;;;;;;;;;;;;;;;;
;2;unipd.it;;;;;;;;;;;;;;;;
;3;uniroma3.it;;;;;;;;;;;;;;;;
;4;www.hpu.edu;;;;;;;;;;;;;;;;
;5;www.u-tokyo.ac.jp;;;;;;;;;;;;;;;;
;6;english.buct.edu.cn;;;;;;;;;;;;;;;;
;7;mit.edu;;;;;;;;;;;;;;;;
;8;ucla.edu;;;;;;;;;;;;;;;;
;9;uc.cl;;;;;;;;;;;;;;;;
;10;www.unimelb.edu.au;;;;;;;;;;;;;;;;
;11;www.ru.ac.za;;;;;;;;;;;;;;;;
;12;;;;;;;;;;;;;;;;;
;13;;;;;;;;;;;;;;;;;
;14;;;;;;;;;;;;;;;;;
;15;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
